Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1540853494676,1159823149,return,D : is performing operation 1(comma) available Semaphore permits : 0,679297521,NA,NA,NA,NA,NA,NA
1540853494676,1199931008,call,D : is performing operation 1(comma) available Semaphore permits : 0,679297521,class java.lang.String,java.lang.StringBuilder.toString,7,0,NA,NA
1540853494676,1199931008,return,D : is performing operation 1(comma) available Semaphore permits : 0,679297521,NA,NA,NA,NA,NA,NA
1540853494676,1933317868,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,7,1,java.lang.String,D : is performing operation 1(comma) available Semaphore permits : 0
1540853494676,1933317868,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853494676,11291904,call,NA,NA,void,java.lang.Thread.sleep,7,1,java.lang.Long,1000
1540853493682,9333072,return,NA,0,NA,NA,NA,NA,NA,NA
1540853494682,1086090357,call,NA,NA,void,java.lang.System.out,7,0,NA,NA
1540853494682,1086090357,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853494682,515567074,call,Thread[Thread-4(comma)5(comma)main],1109538322,void,SemaphoreTest$MyATMThread.name,7,0,NA,NA
1540853494682,515567074,return,E,1109538322,NA,NA,NA,NA,NA,NA
1540853494682,534841568,call,NA,NA,class java.lang.String,java.lang.String.valueOf,7,1,java.lang.String,E
1540853494682,534841568,return,E,0,NA,NA,NA,NA,NA,NA
1540853494682,1825973925,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,7,1,java.lang.String,E
1540853494682,1825973925,return,E,0,NA,NA,NA,NA,NA,NA
1540853494682,1336549518,call,E,112591204,class java.lang.StringBuilder,java.lang.StringBuilder.append,7,1,java.lang.String, : releasing lock...
1540853494682,1336549518,return,E : releasing lock...,112591204,NA,NA,NA,NA,NA,NA
1540853494682,285720410,call,E : releasing lock...,112591204,class java.lang.String,java.lang.StringBuilder.toString,7,0,NA,NA
1540853494682,285720410,return,E : releasing lock...,112591204,NA,NA,NA,NA,NA,NA
1540853494682,1287209169,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,7,1,java.lang.String,E : releasing lock...
1540853494682,1287209169,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853494682,1376364440,call,NA,NA,void,SemaphoreTest.semaphore,7,0,NA,NA
1540853494682,1376364440,return,java.util.concurrent.Semaphore@3feba861[Permits = 0],0,NA,NA,NA,NA,NA,NA
1540853494682,1686249884,call,java.util.concurrent.Semaphore@3feba861[Permits = 0],1072408673,void,java.util.concurrent.Semaphore.release,7,0,NA,NA
1540853494682,1686249884,return,NA,1072408673,NA,NA,NA,NA,NA,NA
1540853494682,1221832505,call,NA,NA,void,java.lang.System.out,7,0,NA,NA
1540853494682,1221832505,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853494682,1315623226,call,Thread[Thread-4(comma)5(comma)main],1109538322,void,SemaphoreTest$MyATMThread.name,7,0,NA,NA
1540853494682,1315623226,return,E,1109538322,NA,NA,NA,NA,NA,NA
1540853494682,1371572744,call,NA,NA,class java.lang.String,java.lang.String.valueOf,7,1,java.lang.String,E
1540853494682,1371572744,return,E,0,NA,NA,NA,NA,NA,NA
1540853494682,616292205,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,7,1,java.lang.String,E
1540853494682,616292205,return,E,0,NA,NA,NA,NA,NA,NA
1540853494682,1908676260,call,E,1765796519,class java.lang.StringBuilder,java.lang.StringBuilder.append,7,1,java.lang.String, : available Semaphore permits now: 
1540853494682,1908676260,return,E : available Semaphore permits now: ,1765796519,NA,NA,NA,NA,NA,NA
1540853494682,1014672706,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,7,0,NA,NA
1540853494682,1014672706,return,java.util.concurrent.Semaphore@3feba861[Permits = 1],0,NA,NA,NA,NA,NA,NA
1540853494682,1187011863,call,java.util.concurrent.Semaphore@3feba861[Permits = 1],1072408673,int,java.util.concurrent.Semaphore.availablePermits,7,0,NA,NA
1540853494682,1187011863,return,1,1072408673,NA,NA,NA,NA,NA,NA
1540853494682,392168029,call,E : available Semaphore permits now: ,1765796519,class java.lang.StringBuilder,java.lang.StringBuilder.append,7,1,java.lang.Integer,1
1540853494682,392168029,return,E : available Semaphore permits now: 1,1765796519,NA,NA,NA,NA,NA,NA
1540853494682,18659524,call,E : available Semaphore permits now: 1,1765796519,class java.lang.String,java.lang.StringBuilder.toString,7,0,NA,NA
1540853494682,18659524,return,E : available Semaphore permits now: 1,1765796519,NA,NA,NA,NA,NA,NA
1540853494682,1759843608,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,7,1,java.lang.String,E : available Semaphore permits now: 1
1540853494682,1759843608,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853489674,1983600766,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853493684,1713163352,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853494684,1276158848,call,NA,NA,void,java.lang.System.out,5,0,NA,NA
1540853494684,1276158848,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853494684,1181452189,call,Thread[Thread-2(comma)5(comma)main],617581605,void,SemaphoreTest$MyATMThread.name,5,0,NA,NA
1540853494684,1181452189,return,C,617581605,NA,NA,NA,NA,NA,NA
1540853494684,588934024,call,NA,NA,class java.lang.String,java.lang.String.valueOf,5,1,java.lang.String,C
1540853494684,588934024,return,C,0,NA,NA,NA,NA,NA,NA
1540853494684,602152383,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,5,1,java.lang.String,C
1540853494684,602152383,return,C,0,NA,NA,NA,NA,NA,NA
1540853494684,1788978912,call,C,1886159686,class java.lang.StringBuilder,java.lang.StringBuilder.append,5,1,java.lang.String, : releasing lock...
1540853494684,1788978912,return,C : releasing lock...,1886159686,NA,NA,NA,NA,NA,NA
1540853494684,14344424,call,C : releasing lock...,1886159686,class java.lang.String,java.lang.StringBuilder.toString,5,0,NA,NA
1540853494684,14344424,return,C : releasing lock...,1886159686,NA,NA,NA,NA,NA,NA
1540853494684,55581865,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,5,1,java.lang.String,C : releasing lock...
1540853494684,55581865,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853494684,1679895685,call,NA,NA,void,SemaphoreTest.semaphore,5,0,NA,NA
1540853494684,1679895685,return,java.util.concurrent.Semaphore@3feba861[Permits = 1],0,NA,NA,NA,NA,NA,NA
1540853494684,1883502068,call,java.util.concurrent.Semaphore@3feba861[Permits = 1],1072408673,void,java.util.concurrent.Semaphore.release,5,0,NA,NA
1540853494684,1883502068,return,NA,1072408673,NA,NA,NA,NA,NA,NA
1540853494684,667522740,call,NA,NA,void,java.lang.System.out,5,0,NA,NA
1540853494684,667522740,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853494684,620716976,call,Thread[Thread-2(comma)5(comma)main],617581605,void,SemaphoreTest$MyATMThread.name,5,0,NA,NA
1540853494684,620716976,return,C,617581605,NA,NA,NA,NA,NA,NA
1540853494684,1230448302,call,NA,NA,class java.lang.String,java.lang.String.valueOf,5,1,java.lang.String,C
1540853494684,1230448302,return,C,0,NA,NA,NA,NA,NA,NA
1540853494684,643073573,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,5,1,java.lang.String,C
1540853494684,643073573,return,C,0,NA,NA,NA,NA,NA,NA
1540853494684,1304676461,call,C,318689414,class java.lang.StringBuilder,java.lang.StringBuilder.append,5,1,java.lang.String, : available Semaphore permits now: 
1540853494684,1304676461,return,C : available Semaphore permits now: ,318689414,NA,NA,NA,NA,NA,NA
1540853494684,1659692577,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,5,0,NA,NA
1540853494684,1659692577,return,java.util.concurrent.Semaphore@3feba861[Permits = 2],0,NA,NA,NA,NA,NA,NA
1540853494684,1611342327,call,java.util.concurrent.Semaphore@3feba861[Permits = 2],1072408673,int,java.util.concurrent.Semaphore.availablePermits,5,0,NA,NA
1540853494684,1611342327,return,2,1072408673,NA,NA,NA,NA,NA,NA
1540853494684,861412667,call,C : available Semaphore permits now: ,318689414,class java.lang.StringBuilder,java.lang.StringBuilder.append,5,1,java.lang.Integer,2
1540853494684,861412667,return,C : available Semaphore permits now: 2,318689414,NA,NA,NA,NA,NA,NA
