Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1540853489643,668386784,call,NA,NA, ,SemaphoreTest.<clinit>,0,0,NA,NA
1540853489644,2065951873,call,NA,NA, ,java.util.concurrent.Semaphore.<init>,1,1,java.lang.Integer,4
1540853489644,2065951873,return,java.util.concurrent.Semaphore@3feba861[Permits = 4],0,NA,NA,NA,NA,NA,NA
1540853489645,1531448569,call,NA,NA, ,SemaphoreTest.semaphore,1,1,java.util.concurrent.Semaphore,java.util.concurrent.Semaphore@3feba861[Permits = 4]
1540853489645,1531448569,return,NA,0,NA,NA,NA,NA,NA,NA
1540853489643,668386784,return,NA,0,NA,NA,NA,NA,NA,NA
1540853489645,1867083167,call,NA,NA,void,SemaphoreTest.main,0,1,[Ljava.lang.String;,[Ljava.lang.String;@b4c966a
1540853489646,793589513,call,NA,NA,void,java.lang.System.out,1,0,NA,NA
1540853489646,793589513,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853489646,495053715,call,NA,NA,void,java.lang.StringBuilder.<init>,1,1,java.lang.String,Total available Semaphore permits : 
1540853489646,495053715,return,Total available Semaphore permits : ,0,NA,NA,NA,NA,NA,NA
1540853489646,1922154895,call,NA,NA,void,SemaphoreTest.semaphore,1,0,NA,NA
1540853489646,1922154895,return,java.util.concurrent.Semaphore@3feba861[Permits = 4],0,NA,NA,NA,NA,NA,NA
1540853489646,883049899,call,java.util.concurrent.Semaphore@3feba861[Permits = 4],1072408673,int,java.util.concurrent.Semaphore.availablePermits,1,0,NA,NA
1540853489647,883049899,return,4,1072408673,NA,NA,NA,NA,NA,NA
1540853489647,1854731462,call,Total available Semaphore permits : ,885284298,class java.lang.StringBuilder,java.lang.StringBuilder.append,1,1,java.lang.Integer,4
1540853489648,1854731462,return,Total available Semaphore permits : 4,885284298,NA,NA,NA,NA,NA,NA
1540853489648,1389133897,call,Total available Semaphore permits : 4,885284298,class java.lang.String,java.lang.StringBuilder.toString,1,0,NA,NA
